CodigoArticulo,LLAVE,VALUE
AB000006,Descripcion   ,Vestidos
AB000006,Linea         ,Ropa de Dama
AB000006,CostoPromedio ,90.0
AB000006,CodigoCliente ,W521274
AB000006,NombreCliente ,Kasper Wolfe
AB000006,CodigoTienda  ,T24
AB000006,NombreTienda  ,Tienda 42
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000006,Region        ,Norte
AB000006,Departamento  ,Jalapa
AB000006,CodigoPlanta  ,P4
AB000006,NombrePlanta  ,Planta 4
AB000006,Region_1      ,Sur
AB000006,Departamento_1,Zacapa
AB000006,cantidad      ,12.0
AB000006,precio        ,135.0
AB000006,costo         ,75.6
AB000006,fecha         ,Mon May 01 00:00:00 CST 2006
AB000006,Descripcion   ,Vestidos
AB000006,Linea         ,Ropa de Dama
AB000006,CostoPromedio ,90.0
AB000006,CodigoCliente ,NX96558
AB000006,NombreCliente ,Penatibus Incorporated
AB000006,CodigoTienda  ,T24
AB000006,NombreTienda  ,Tienda 42
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000006,Region        ,Norte
AB000006,Departamento  ,Jalapa
AB000006,CodigoPlanta  ,P5
AB000006,NombrePlanta  ,Planta 5
AB000006,Region_1      ,Norte
AB000006,Departamento_1,Petén
AB000006,cantidad      ,1.0
AB000006,precio        ,135.0
AB000006,costo         ,68.85
AB000006,fecha         ,Fri May 01 00:00:00 CST 2015
AB000007,Descripcion   ,Falda corta
AB000007,Linea         ,Ropa de Dama
AB000007,CostoPromedio ,60.0
AB000007,CodigoCliente ,H434583
AB000007,NombreCliente ,Bruno Sullivan
AB000007,CodigoTienda  ,T19
AB000007,NombreTienda  ,Tienda 5
AB000007,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000007,Region        ,Norte
AB000007,Departamento  ,Baja Verapaz
AB000007,CodigoPlanta  ,P10
AB000007,NombrePlanta  ,Planta 1
AB000007,Region_1      ,Norte
AB000007,Departamento_1,Guatemala
AB000007,cantidad      ,19.0
AB000007,precio        ,90.0
AB000007,costo         ,58.5
AB000007,fecha         ,Sun Sep 01 00:00:00 CST 2013
AB000008,Descripcion   ,Falda Larga
AB000008,Linea         ,Ropa de Dama
AB000008,CostoPromedio ,70.0
AB000008,CodigoCliente ,DN92527
AB000008,NombreCliente ,Tellus Institute
AB000008,CodigoTienda  ,T11
AB000008,NombreTienda  ,Tienda 5
AB000008,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000008,Region        ,Norte
AB000008,Departamento  ,Baja Verapaz
AB000008,CodigoPlanta  ,P2
AB000008,NombrePlanta  ,Planta 2
AB000008,Region_1      ,Norte
AB000008,Departamento_1,Escuintla
AB000008,cantidad      ,13.0
AB000008,precio        ,105.0
AB000008,costo         ,76.65
AB000008,fecha         ,Fri Jan 01 00:00:00 CST 2010
AB000008,Descripcion   ,Falda Larga
AB000008,Linea         ,Ropa de Dama
AB000008,CostoPromedio ,70.0
AB000008,CodigoCliente ,FS69939
AB000008,NombreCliente ,Ipsum Corporation
AB000008,CodigoTienda  ,T15
AB000008,NombreTienda  ,Tienda 5
AB000008,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000008,Region        ,Norte
AB000008,Departamento  ,Baja Verapaz
AB000008,CodigoPlanta  ,P10
AB000008,NombrePlanta  ,Planta 1
AB000008,Region_1      ,Norte
AB000008,Departamento_1,Guatemala
AB000008,cantidad      ,2.0
AB000008,precio        ,105.0
AB000008,costo         ,92.4
AB000008,fecha         ,Thu Nov 01 00:00:00 CST 2007
AB000009,Descripcion   ,Camisa polo
AB000009,Linea         ,Ropa de caballero
AB000009,CostoPromedio ,120.0
AB000009,CodigoCliente ,I291567
AB000009,NombreCliente ,Claire Good
AB000009,CodigoTienda  ,T27
AB000009,NombreTienda  ,Tienda 42
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000009,Region        ,Norte
AB000009,Departamento  ,Jalapa
AB000009,CodigoPlanta  ,P5
AB000009,NombrePlanta  ,Planta 5
AB000009,Region_1      ,Norte
AB000009,Departamento_1,Petén
AB000009,cantidad      ,16.0
AB000009,precio        ,180.0
AB000009,costo         ,109.8
AB000009,fecha         ,Tue Aug 01 00:00:00 CST 2017
AB000009,Descripcion   ,Camisa polo
AB000009,Linea         ,Ropa de caballero
AB000009,CostoPromedio ,120.0
AB000009,CodigoCliente ,M456377
AB000009,NombreCliente ,Ulric Marshall
AB000009,CodigoTienda  ,T20
AB000009,NombreTienda  ,Tienda 42
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000009,Region        ,Norte
AB000009,Departamento  ,Jalapa
AB000009,CodigoPlanta  ,P8
AB000009,NombrePlanta  ,Planta 8
AB000009,Region_1      ,Sur
AB000009,Departamento_1,San Marcos
AB000009,cantidad      ,21.0
AB000009,precio        ,180.0
AB000009,costo         ,174.6
AB000009,fecha         ,Sat Oct 01 00:00:00 CST 2016
AB000009,Descripcion   ,Camisa polo
AB000009,Linea         ,Ropa de caballero
AB000009,CostoPromedio ,120.0
AB000009,CodigoCliente ,Z843862
AB000009,NombreCliente ,Kelsie Holloway
AB000009,CodigoTienda  ,T29
AB000009,NombreTienda  ,Tienda 42
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000009,Region        ,Norte
AB000009,Departamento  ,Jalapa
AB000009,CodigoPlanta  ,P8
AB000009,NombrePlanta  ,Planta 8
AB000009,Region_1      ,Sur
AB000009,Departamento_1,San Marcos
AB000009,cantidad      ,3.0
AB000009,precio        ,180.0
AB000009,costo         ,133.2
AB000009,fecha         ,Mon Nov 01 00:00:00 CST 2010
AB000009,Descripcion   ,Camisa polo
AB000009,Linea         ,Ropa de caballero
AB000009,CostoPromedio ,120.0
AB000009,CodigoCliente ,JN99126
AB000009,NombreCliente ,Erat Nonummy Ultricies Institute
AB000009,CodigoTienda  ,T33
AB000009,NombreTienda  ,Tienda 43
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000009,Region        ,Norte
AB000009,Departamento  ,Chiquimula
AB000009,CodigoPlanta  ,P5
AB000009,NombrePlanta  ,Planta 5
AB000009,Region_1      ,Norte
AB000009,Departamento_1,Petén
AB000009,cantidad      ,6.0
AB000009,precio        ,180.0
AB000009,costo         ,113.4
AB000009,fecha         ,Fri Jul 01 00:00:00 CST 2011
AB000009,Descripcion   ,Camisa polo
AB000009,Linea         ,Ropa de caballero
AB000009,CostoPromedio ,120.0
AB000009,CodigoCliente ,MW63791
AB000009,NombreCliente ,Proin LLP
AB000009,CodigoTienda  ,T3
AB000009,NombreTienda  ,Tienda 43
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000009,Region        ,Norte
AB000009,Departamento  ,Chiquimula
AB000009,CodigoPlanta  ,P8
AB000009,NombrePlanta  ,Planta 8
AB000009,Region_1      ,Sur
AB000009,Departamento_1,San Marcos
AB000009,cantidad      ,21.0
AB000009,precio        ,180.0
AB000009,costo         ,104.4
AB000009,fecha         ,Mon Sep 01 00:00:00 CST 2014
AB000010,Descripcion   ,Camisa de vestir
AB000010,Linea         ,Ropa de caballero
AB000010,CostoPromedio ,150.0
AB000010,CodigoCliente ,KE51218
AB000010,NombreCliente ,Fringilla Porttitor Corp.
AB000010,CodigoTienda  ,T14
AB000010,NombreTienda  ,Tienda 5
AB000010,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000010,Region        ,Norte
AB000010,Departamento  ,Baja Verapaz
AB000010,CodigoPlanta  ,P9
AB000010,NombrePlanta  ,Planta 9
AB000010,Region_1      ,Norte
AB000010,Departamento_1,Izabal
AB000010,cantidad      ,21.0
AB000010,precio        ,225.0
AB000010,costo         ,139.5
AB000010,fecha         ,Sun Feb 01 00:00:00 CST 2009
AB000011,Descripcion   ,Pantalon de vestir
AB000011,Linea         ,Ropa de caballero
AB000011,CostoPromedio ,140.0
AB000011,CodigoCliente ,Y163896
AB000011,NombreCliente ,Lyle Joseph
AB000011,CodigoTienda  ,T12
AB000011,NombreTienda  ,Tienda 5
AB000011,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000011,Region        ,Norte
AB000011,Departamento  ,Baja Verapaz
AB000011,CodigoPlanta  ,P4
AB000011,NombrePlanta  ,Planta 4
AB000011,Region_1      ,Sur
AB000011,Departamento_1,Zacapa
AB000011,cantidad      ,25.0
AB000011,precio        ,210.0
AB000011,costo         ,142.8
AB000011,fecha         ,Sun Jul 01 00:00:00 CST 2007
AB000011,Descripcion   ,Pantalon de vestir
AB000011,Linea         ,Ropa de caballero
AB000011,CostoPromedio ,140.0
AB000011,CodigoCliente ,JS36344
AB000011,NombreCliente ,Aliquet Proin Company
AB000011,CodigoTienda  ,T33
AB000011,NombreTienda  ,Tienda 43
AB000011,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000011,Region        ,Norte
AB000011,Departamento  ,Chiquimula
AB000011,CodigoPlanta  ,P7
AB000011,NombrePlanta  ,Planta 7
AB000011,Region_1      ,Sur
AB000011,Departamento_1,Retalhuleu
AB000011,cantidad      ,21.0
AB000011,precio        ,210.0
AB000011,costo         ,138.6
AB000011,fecha         ,Wed Apr 01 00:00:00 CST 2015
AB000012,Descripcion   ,Pantalon de mezclilla
AB000012,Linea         ,Ropa de caballero
AB000012,CostoPromedio ,140.0
AB000012,CodigoCliente ,D657895
AB000012,NombreCliente ,Tanisha Pate
AB000012,CodigoTienda  ,T37
AB000012,NombreTienda  ,Tienda 43
AB000012,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000012,Region        ,Norte
AB000012,Departamento  ,Chiquimula
AB000012,CodigoPlanta  ,P3
AB000012,NombrePlanta  ,Planta 3
AB000012,Region_1      ,Norte
AB000012,Departamento_1,El Progreso
AB000012,cantidad      ,3.0
AB000012,precio        ,210.0
AB000012,costo         ,136.5
AB000012,fecha         ,Tue Jul 01 00:00:00 CST 2014
AB000012,Descripcion   ,Pantalon de mezclilla
AB000012,Linea         ,Ropa de caballero
AB000012,CostoPromedio ,140.0
AB000012,CodigoCliente ,MQ77396
AB000012,NombreCliente ,Auctor Mauris Consulting
AB000012,CodigoTienda  ,T35
AB000012,NombreTienda  ,Tienda 43
AB000012,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000012,Region        ,Norte
AB000012,Departamento  ,Chiquimula
AB000012,CodigoPlanta  ,P9
AB000012,NombrePlanta  ,Planta 9
AB000012,Region_1      ,Norte
AB000012,Departamento_1,Izabal
AB000012,cantidad      ,7.0
AB000012,precio        ,210.0
AB000012,costo         ,121.8
AB000012,fecha         ,Thu Dec 01 00:00:00 CST 2016
AB000013,Descripcion   ,Chumpa de lona
AB000013,Linea         ,Ropa de caballero
AB000013,CostoPromedio ,250.0
AB000013,CodigoCliente ,ME95877
AB000013,NombreCliente ,Neque Pellentesque Ltd
AB000013,CodigoTienda  ,T17
AB000013,NombreTienda  ,Tienda 5
AB000013,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000013,Region        ,Norte
AB000013,Departamento  ,Baja Verapaz
AB000013,CodigoPlanta  ,P6
AB000013,NombrePlanta  ,Planta 6
AB000013,Region_1      ,Occidente
AB000013,Departamento_1,Quetzaltenango
AB000013,cantidad      ,11.0
AB000013,precio        ,375.0
AB000013,costo         ,326.25
AB000013,fecha         ,Fri Jan 01 00:00:00 CST 2016
AB000014,Descripcion   ,Chumpa de cuero
AB000014,Linea         ,Ropa de caballero
AB000014,CostoPromedio ,600.0
AB000014,CodigoCliente ,GB87774
AB000014,NombreCliente ,Risus In Mi Industries
AB000014,CodigoTienda  ,T13
AB000014,NombreTienda  ,Tienda 5
AB000014,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000014,Region        ,Norte
AB000014,Departamento  ,Baja Verapaz
AB000014,CodigoPlanta  ,P4
AB000014,NombrePlanta  ,Planta 4
AB000014,Region_1      ,Sur
AB000014,Departamento_1,Zacapa
AB000014,cantidad      ,13.0
AB000014,precio        ,900.0
AB000014,costo         ,792.0
AB000014,fecha         ,Fri Jul 01 00:00:00 CST 2005
AB000015,Descripcion   ,Pantalon de lona
AB000015,Linea         ,Ropa de niños
AB000015,CostoPromedio ,110.0
AB000015,CodigoCliente ,W344699
AB000015,NombreCliente ,Quemby Foley
AB000015,CodigoTienda  ,T38
AB000015,NombreTienda  ,Tienda 43
AB000015,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000015,Region        ,Norte
AB000015,Departamento  ,Chiquimula
AB000015,CodigoPlanta  ,P6
AB000015,NombrePlanta  ,Planta 6
AB000015,Region_1      ,Occidente
AB000015,Departamento_1,Quetzaltenango
AB000015,cantidad      ,20.0
AB000015,precio        ,165.0
AB000015,costo         ,141.9
AB000015,fecha         ,Sat Sep 01 00:00:00 CST 2012
AB000015,Descripcion   ,Pantalon de lona
AB000015,Linea         ,Ropa de niños
AB000015,CostoPromedio ,110.0
AB000015,CodigoCliente ,KF27823
AB000015,NombreCliente ,Eu Eros Nam Incorporated
AB000015,CodigoTienda  ,T6
AB000015,NombreTienda  ,Tienda 43
AB000015,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000015,Region        ,Norte
AB000015,Departamento  ,Chiquimula
AB000015,CodigoPlanta  ,P4
AB000015,NombrePlanta  ,Planta 4
AB000015,Region_1      ,Sur
AB000015,Departamento_1,Zacapa
AB000015,cantidad      ,2.0
AB000015,precio        ,165.0
AB000015,costo         ,153.45
AB000015,fecha         ,Tue Aug 01 00:00:00 CST 2017
AB000016,Descripcion   ,Pantaloneta
AB000016,Linea         ,Ropa de niños
AB000016,CostoPromedio ,50.0
AB000016,CodigoCliente ,RL84637
AB000016,NombreCliente ,Vulputate Eu Corp.
AB000016,CodigoTienda  ,T43
AB000016,NombreTienda  ,Tienda 43
AB000016,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000016,Region        ,Norte
AB000016,Departamento  ,Chiquimula
AB000016,CodigoPlanta  ,P1
AB000016,NombrePlanta  ,Planta 1
AB000016,Region_1      ,Norte
AB000016,Departamento_1,Guatemala
AB000016,cantidad      ,9.0
AB000016,precio        ,75.0
AB000016,costo         ,45.75
AB000016,fecha         ,Sat Dec 01 00:00:00 CST 2007
AB000017,Descripcion   ,Camisa
AB000017,Linea         ,Ropa de niños
AB000017,CostoPromedio ,60.0
AB000017,CodigoCliente ,R482853
AB000017,NombreCliente ,Adara Lawrence
AB000017,CodigoTienda  ,T34
AB000017,NombreTienda  ,Tienda 43
AB000017,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000017,Region        ,Norte
AB000017,Departamento  ,Chiquimula
AB000017,CodigoPlanta  ,P3
AB000017,NombrePlanta  ,Planta 3
AB000017,Region_1      ,Norte
AB000017,Departamento_1,El Progreso
AB000017,cantidad      ,3.0
AB000017,precio        ,90.0
AB000017,costo         ,73.8
AB000017,fecha         ,Fri Jul 01 00:00:00 CST 2016
AB000017,Descripcion   ,Camisa
AB000017,Linea         ,Ropa de niños
AB000017,CostoPromedio ,60.0
AB000017,CodigoCliente ,LR83328
AB000017,NombreCliente ,Nec Leo Consulting
AB000017,CodigoTienda  ,T26
AB000017,NombreTienda  ,Tienda 42
AB000017,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000017,Region        ,Norte
AB000017,Departamento  ,Jalapa
AB000017,CodigoPlanta  ,P6
AB000017,NombrePlanta  ,Planta 6
AB000017,Region_1      ,Occidente
AB000017,Departamento_1,Quetzaltenango
AB000017,cantidad      ,1.0
AB000017,precio        ,90.0
AB000017,costo         ,45.0
AB000017,fecha         ,Wed Feb 01 00:00:00 CST 2012
AB000018,Descripcion   ,Playera
AB000018,Linea         ,Ropa de niños
AB000018,CostoPromedio ,60.0
AB000018,CodigoCliente ,WR15121
AB000018,NombreCliente ,Sapien Cras Dolor PC
AB000018,CodigoTienda  ,T29
AB000018,NombreTienda  ,Tienda 42
AB000018,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000018,Region        ,Norte
AB000018,Departamento  ,Jalapa
AB000018,CodigoPlanta  ,P10
AB000018,NombrePlanta  ,Planta 1
AB000018,Region_1      ,Norte
AB000018,Departamento_1,Guatemala
AB000018,cantidad      ,21.0
AB000018,precio        ,90.0
AB000018,costo         ,82.8
AB000018,fecha         ,Wed Oct 01 00:00:00 CST 2014
AB000019,Descripcion   ,Caminadora
AB000019,Linea         ,Deporte
AB000019,CostoPromedio ,3800.0
AB000019,CodigoCliente ,Z499617
AB000019,NombreCliente ,Wesley England
AB000019,CodigoTienda  ,T38
AB000019,NombreTienda  ,Tienda 43
