CodigoArticulo,LLAVE,VALUE
AB000008,Region        ,Sur                                                                     
AB000008,Departamento  ,Sacatepéquez                                                            
AB000008,CodigoPlanta  ,P6                                                                      
AB000008,NombrePlanta  ,Planta 6                                                                
AB000008,Region_1      ,Occidente                                                               
AB000008,Departamento_1,Quetzaltenango                                                          
AB000008,cantidad      ,24                                                                      
AB000008,precio        ,105.0                                                                   
AB000008,costo         ,87.15                                                                   
AB000008,fecha         ,Sat Sep 01 00:00:00 CST 2012                                            
AB000008,Descripcion   ,Falda Larga                                                             
AB000008,Linea         ,Ropa de Dama                                                            
AB000008,CostoPromedio ,70                                                                      
AB000008,CodigoCliente ,G526333                                                                 
AB000008,NombreCliente ,Karleigh Whitfield                                                      
AB000008,CodigoTienda  ,T29                                                                     
AB000008,NombreTienda  ,Tienda 42                                                               
AB000008,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000008,Region        ,Sur                                                                     
AB000008,Departamento  ,Sacatepéquez                                                            
AB000008,CodigoPlanta  ,P10                                                                     
AB000008,NombrePlanta  ,Planta 1                                                                
AB000008,Region_1      ,Norte                                                                   
AB000008,Departamento_1,Guatemala                                                               
AB000008,cantidad      ,13                                                                      
AB000008,precio        ,105.0                                                                   
AB000008,costo         ,90.3                                                                    
AB000008,fecha         ,Sun May 01 00:00:00 CST 2016                                            
AB000009,Descripcion   ,Camisa polo                                                             
AB000009,Linea         ,Ropa de caballero                                                       
AB000009,CostoPromedio ,120                                                                     
AB000009,CodigoCliente ,W521274                                                                 
AB000009,NombreCliente ,Kasper Wolfe                                                            
AB000009,CodigoTienda  ,T6                                                                      
AB000009,NombreTienda  ,Tienda 43                                                               
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000009,Region        ,Norte                                                                   
AB000009,Departamento  ,Huehuetenango                                                           
AB000009,CodigoPlanta  ,P7                                                                      
AB000009,NombrePlanta  ,Planta 7                                                                
AB000009,Region_1      ,Sur                                                                     
AB000009,Departamento_1,Retalhuleu                                                              
AB000009,cantidad      ,25                                                                      
AB000009,precio        ,180.0                                                                   
AB000009,costo         ,127.8                                                                   
AB000009,fecha         ,Fri Jul 01 00:00:00 CST 2005                                            
AB000009,Descripcion   ,Camisa polo                                                             
AB000009,Linea         ,Ropa de caballero                                                       
AB000009,CostoPromedio ,120                                                                     
AB000009,CodigoCliente ,XA93251                                                                 
AB000009,NombreCliente ,Sed Dolor Fusce Associates                                              
AB000009,CodigoTienda  ,T35                                                                     
AB000009,NombreTienda  ,Tienda 43                                                               
AB000009,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000009,Region        ,Norte                                                                   
AB000009,Departamento  ,Huehuetenango                                                           
AB000009,CodigoPlanta  ,P5                                                                      
AB000009,NombrePlanta  ,Planta 5                                                                
AB000009,Region_1      ,Norte                                                                   
AB000009,Departamento_1,Petén                                                                   
AB000009,cantidad      ,2                                                                       
AB000009,precio        ,180.0                                                                   
AB000009,costo         ,95.4                                                                    
AB000009,fecha         ,Wed Jul 01 00:00:00 CST 2009                                            
AB000011,Descripcion   ,Pantalon de vestir                                                      
AB000011,Linea         ,Ropa de caballero                                                       
AB000011,CostoPromedio ,140                                                                     
AB000011,CodigoCliente ,N349336                                                                 
AB000011,NombreCliente ,Raven Henderson                                                         
AB000011,CodigoTienda  ,T25                                                                     
AB000011,NombreTienda  ,Tienda 42                                                               
AB000011,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000011,Region        ,Sur                                                                     
AB000011,Departamento  ,Sacatepéquez                                                            
AB000011,CodigoPlanta  ,P10                                                                     
AB000011,NombrePlanta  ,Planta 1                                                                
AB000011,Region_1      ,Norte                                                                   
AB000011,Departamento_1,Guatemala                                                               
AB000011,cantidad      ,6                                                                       
AB000011,precio        ,210.0                                                                   
AB000011,costo         ,191.1                                                                   
AB000011,fecha         ,Sat Jul 01 00:00:00 CST 2017                                            
AB000011,Descripcion   ,Pantalon de vestir                                                      
AB000011,Linea         ,Ropa de caballero                                                       
AB000011,CostoPromedio ,140                                                                     
AB000011,CodigoCliente ,WR15121                                                                 
AB000011,NombreCliente ,Sapien Cras Dolor PC                                                    
AB000011,CodigoTienda  ,T34                                                                     
AB000011,NombreTienda  ,Tienda 43                                                               
AB000011,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000011,Region        ,Norte                                                                   
AB000011,Departamento  ,Huehuetenango                                                           
AB000011,CodigoPlanta  ,P8                                                                      
AB000011,NombrePlanta  ,Planta 8                                                                
AB000011,Region_1      ,Sur                                                                     
AB000011,Departamento_1,San Marcos                                                              
AB000011,cantidad      ,25                                                                      
AB000011,precio        ,210.0                                                                   
AB000011,costo         ,132.3                                                                   
AB000011,fecha         ,Mon Mar 01 00:00:00 CST 2010                                            
AB000012,Descripcion   ,Pantalon de mezclilla                                                   
AB000012,Linea         ,Ropa de caballero                                                       
AB000012,CostoPromedio ,140                                                                     
AB000012,CodigoCliente ,B179751                                                                 
AB000012,NombreCliente ,Chase Benjamin                                                          
AB000012,CodigoTienda  ,T14                                                                     
AB000012,NombreTienda  ,Tienda 5                                                                
AB000012,Direccion     ,6a Av. 20-09 Col. Sn. Francisco                                         
AB000012,Region        ,Sur                                                                     
AB000012,Departamento  ,Sacatepéquez                                                            
AB000012,CodigoPlanta  ,P2                                                                      
AB000012,NombrePlanta  ,Planta 2                                                                
AB000012,Region_1      ,Norte                                                                   
AB000012,Departamento_1,Escuintla                                                               
AB000012,cantidad      ,16                                                                      
AB000012,precio        ,210.0                                                                   
AB000012,costo         ,136.5                                                                   
AB000012,fecha         ,Thu Feb 01 00:00:00 CST 2007                                            
AB000012,Descripcion   ,Pantalon de mezclilla                                                   
AB000012,Linea         ,Ropa de caballero                                                       
AB000012,CostoPromedio ,140                                                                     
AB000012,CodigoCliente ,P111553                                                                 
AB000012,NombreCliente ,Graiden Charles                                                         
AB000012,CodigoTienda  ,T32                                                                     
AB000012,NombreTienda  ,Tienda 43                                                               
AB000012,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000012,Region        ,Norte                                                                   
AB000012,Departamento  ,Huehuetenango                                                           
AB000012,CodigoPlanta  ,P7                                                                      
AB000012,NombrePlanta  ,Planta 7                                                                
AB000012,Region_1      ,Sur                                                                     
AB000012,Departamento_1,Retalhuleu                                                              
AB000012,cantidad      ,1                                                                       
AB000012,precio        ,210.0                                                                   
AB000012,costo         ,121.8                                                                   
AB000012,fecha         ,Sun Nov 01 00:00:00 CST 2015                                            
AB000012,Descripcion   ,Pantalon de mezclilla                                                   
AB000012,Linea         ,Ropa de caballero                                                       
AB000012,CostoPromedio ,140                                                                     
AB000012,CodigoCliente ,ZJ98595                                                                 
AB000012,NombreCliente ,Ultrices Sit Company                                                    
AB000012,CodigoTienda  ,T20                                                                     
AB000012,NombreTienda  ,Tienda 42                                                               
AB000012,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000012,Region        ,Sur                                                                     
AB000012,Departamento  ,Sacatepéquez                                                            
AB000012,CodigoPlanta  ,P8                                                                      
AB000012,NombrePlanta  ,Planta 8                                                                
AB000012,Region_1      ,Sur                                                                     
AB000012,Departamento_1,San Marcos                                                              
AB000012,cantidad      ,24                                                                      
AB000012,precio        ,210.0                                                                   
AB000012,costo         ,105.0                                                                   
AB000012,fecha         ,Wed Jun 01 00:00:00 CST 2005                                            
AB000013,Descripcion   ,Chumpa de lona                                                          
AB000013,Linea         ,Ropa de caballero                                                       
AB000013,CostoPromedio ,250                                                                     
AB000013,CodigoCliente ,H963214                                                                 
AB000013,NombreCliente ,Daria Guzman                                                            
AB000013,CodigoTienda  ,T26                                                                     
AB000013,NombreTienda  ,Tienda 42                                                               
AB000013,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000013,Region        ,Sur                                                                     
AB000013,Departamento  ,Sacatepéquez                                                            
AB000013,CodigoPlanta  ,P1                                                                      
AB000013,NombrePlanta  ,Planta 1                                                                
AB000013,Region_1      ,Norte                                                                   
AB000013,Departamento_1,Guatemala                                                               
AB000013,cantidad      ,15                                                                      
AB000013,precio        ,375.0                                                                   
AB000013,costo         ,300.0                                                                   
AB000013,fecha         ,Fri May 01 00:00:00 CST 2009                                            
AB000013,Descripcion   ,Chumpa de lona                                                          
AB000013,Linea         ,Ropa de caballero                                                       
AB000013,CostoPromedio ,250                                                                     
AB000013,CodigoCliente ,XC43143                                                                 
AB000013,NombreCliente ,Sem Eget LLP                                                            
AB000013,CodigoTienda  ,T1                                                                      
AB000013,NombreTienda  ,Tienda 5                                                                
AB000013,Direccion     ,6a Av. 20-09 Col. Sn. Francisco                                         
AB000013,Region        ,Sur                                                                     
AB000013,Departamento  ,Sacatepéquez                                                            
AB000013,CodigoPlanta  ,P2                                                                      
AB000013,NombrePlanta  ,Planta 2                                                                
AB000013,Region_1      ,Norte                                                                   
AB000013,Departamento_1,Escuintla                                                               
AB000013,cantidad      ,19                                                                      
AB000013,precio        ,375.0                                                                   
AB000013,costo         ,288.75                                                                  
AB000013,fecha         ,Sun Jan 01 00:00:00 CST 2012                                            
AB000014,Descripcion   ,Chumpa de cuero                                                         
AB000014,Linea         ,Ropa de caballero                                                       
AB000014,CostoPromedio ,600                                                                     
AB000014,CodigoCliente ,J126652                                                                 
AB000014,NombreCliente ,Donna Kinney                                                            
AB000014,CodigoTienda  ,T21                                                                     
AB000014,NombreTienda  ,Tienda 42                                                               
AB000014,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000014,Region        ,Sur                                                                     
AB000014,Departamento  ,Sacatepéquez                                                            
AB000014,CodigoPlanta  ,P2                                                                      
AB000014,NombrePlanta  ,Planta 2                                                                
AB000014,Region_1      ,Norte                                                                   
AB000014,Departamento_1,Escuintla                                                               
AB000014,cantidad      ,21                                                                      
AB000014,precio        ,900.0                                                                   
AB000014,costo         ,459.0                                                                   
AB000014,fecha         ,Sun Apr 01 00:00:00 CST 2007                                            
AB000014,Descripcion   ,Chumpa de cuero                                                         
AB000014,Linea         ,Ropa de caballero                                                       
AB000014,CostoPromedio ,600                                                                     
AB000014,CodigoCliente ,K918411                                                                 
AB000014,NombreCliente ,Ocean Joseph                                                            
AB000014,CodigoTienda  ,T4                                                                      
AB000014,NombreTienda  ,Tienda 43                                                               
AB000014,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000014,Region        ,Norte                                                                   
AB000014,Departamento  ,Huehuetenango                                                           
AB000014,CodigoPlanta  ,P6                                                                      
AB000014,NombrePlanta  ,Planta 6                                                                
AB000014,Region_1      ,Occidente                                                               
AB000014,Departamento_1,Quetzaltenango                                                          
AB000014,cantidad      ,22                                                                      
AB000014,precio        ,900.0                                                                   
AB000014,costo         ,513.0                                                                   
AB000014,fecha         ,Sat Nov 01 00:00:00 CST 2014                                            
AB000015,Descripcion   ,Pantalon de lona                                                        
AB000015,Linea         ,Ropa de ni¤os                                                           
AB000015,CostoPromedio ,110                                                                     
AB000015,CodigoCliente ,WX14184                                                                 
AB000015,NombreCliente ,Gravida Praesent Corp.                                                  
AB000015,CodigoTienda  ,T25                                                                     
AB000015,NombreTienda  ,Tienda 42                                                               
AB000015,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000015,Region        ,Sur                                                                     
AB000015,Departamento  ,Sacatepéquez                                                            
AB000015,CodigoPlanta  ,P10                                                                     
AB000015,NombrePlanta  ,Planta 1                                                                
AB000015,Region_1      ,Norte                                                                   
AB000015,Departamento_1,Guatemala                                                               
