CodigoArticulo|Descripcion|Linea|CostoPromedio|CodigoCliente|NombreCliente|CodigoTienda|NombreTienda|Direccion|Region|Departamento|CodigoPlanta|NombrePlanta|Region|Departamento|cantidad|precio|costo|fecha
|"90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|276|F919641|Uriel Taylor|T42|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|12|414|314.64|01/01/2011
AB000099|AMARIGE D`AMOUR GIVENCHY|Perfumeria|500|K734656|Sean Bernard|T28|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|5|750|607.5|01/08/2012
AB000011|Pantalon de vestir|Ropa de caballero|140|N349336|Raven Henderson|T25|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|6|210|191.1|01/07/2017
AB000028|Bate de baseball|Deporte|180|N292842|Carter Joyner|T8|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|2|270|202.5|01/12/2006
AB000039|Mesa de noche|Muebles|560|V561922|Blythe Owen|T15|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|3|840|453.6|01/09/2014
AB000026|Pelota de basketball|Deporte|169|X138467|Fitzgerald Park|T23|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P8|Planta 8|Sur|San Marcos|4|253.5|136.89|01/06/2012
AB000025|Pelota de futbol|Deporte|150|W559969|Amal Hatfield|T6|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|1|225|177.75|01/07/2012
AB000093|ALIEN THIERRY MUGLER DAMA PERFUME 50|Perfumeria|986|A583229|Conan Hernandez|T10|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P8|Planta 8|Sur|San Marcos|18|1479|931.77|01/04/2012
AB000056|360 PINK PERRY ELLIS DAMA PERFUME 100|Perfumeria|475|K882178|Fletcher Washington|T22|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|20|712.5|399|01/01/2007
AB000008|Falda Larga|Ropa de Dama|70|T249684|Channing Sawyer|T15|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|24|105|87.15|01/09/2012
AB000042|Laptop DELL|Electronicos|5400|G696431|Audra Oneal|T23|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|7|8100|6399|01/04/2011
AB000067|"90210 TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|221|Z629394|David Gentry|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|1|331.5|182.325|01/01/2009
AB000016|Pantaloneta|Ropa de ni¤os|50|K748936|Hector Foreman|T38|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|9|75|49.5|01/01/2011
AB000032|Secadora de ropa|Electrodomesticos|2840|Y163896|Lyle Joseph|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|3|4260|2939.4|01/10/2005
AB000079|"90210 VERY SEXY TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|276|J232613|Lucas Norton|T43|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|21|414|302.22|01/01/2016
AB000088|ADIDAS FRESH VIBES ADIDAS DAMA TOILETTE 50|Perfumeria|191|A678591|Moana Frazier|T37|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|23|286.5|183.36|01/12/2005
AB000012|Pantalon de mezclilla|Ropa de caballero|140|B179751|Chase Benjamin|T14|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|16|210|136.5|01/02/2007
AB000067|"90210 TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|221|B776597|Brenden Clark|T6|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P8|Planta 8|Sur|San Marcos|23|331.5|258.57|01/12/2012
AB000014|Chumpa de cuero|Ropa de caballero|600|J126652|Donna Kinney|T21|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|21|900|459|01/04/2007
AB000035|Amueblado de sala|Muebles|5400|I291567|Claire Good|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|17|8100|7857|01/10/2009
AB000028|Bate de baseball|Deporte|180|G295694|Zoe Holland|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|22|270|143.1|01/09/2010
AB000085|ACQUA DI GIOIA GIORGIO ARMANI DAMA PERFUME 100|Perfumeria|731|D462748|Chase Russell|T36|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|4|1096.5|1019.745|01/11/2010
AB000005|Pijama|Ropa de Dama|169|G631867|Vivian Sutton|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|24|253.5|172.38|01/01/2011
AB000032|Secadora de ropa|Electrodomesticos|2840|N813247|Cheryl Frederick|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|10|4260|3535.8|01/05/2013
AB000049|273 FRED HAYMAN ?S DAMA PERFUME 75|Perfumeria|431|K965918|Lucian Fleming|T37|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|6|646.5|374.97|01/02/2014
AB000086|ADIDAS FRUITY RHYTHM ADIDAS DAMA TOILETTE 50|Perfumeria|191|G311237|Kamal Nichols|T24|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|7|286.5|197.685|01/05/2007
AB000080|"90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|276|G687128|Nita Wiley|T15|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P8|Planta 8|Sur|San Marcos|12|414|318.78|01/03/2012
AB000041|Laptop HP|Electronicos|5625|Z746623|Gil Oneal|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|16|8437.5|5400|01/04/2006
AB000063|5TH NYC PREMIERE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|380|R564289|Kadeem Holden|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|20|570|461.7|01/05/2011
AB000062|5TH AVENUE NYC ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|365|K543942|Kaye Howe|T20|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|22|547.5|284.7|01/09/2016
AB000092|AIRE LOEWE LOEWE DAMA TOILETTE 100|Perfumeria|626|Q545442|Deirdre Short|T30|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|23|939|535.23|01/01/2017
AB000040|Computadora|Electronicos|6550|Q626774|Adele Mcdaniel|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|21|9825|6877.5|01/12/2009
AB000069|"90210 GOLD JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|236|B161629|Odysseus Lara|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|19|354|198.24|01/02/2005
AB000039|Mesa de noche|Muebles|560|O584717|Kaye Davenport|T10|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|21|840|562.8|01/02/2016
AB000088|ADIDAS FRESH VIBES ADIDAS DAMA TOILETTE 50|Perfumeria|191|H434583|Bruno Sullivan|T30|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|14|286.5|277.905|01/01/2006
AB000051|360 PERRY ELLIS DAMA TOILETTE 100|Perfumeria|390|R734251|Audra Madden|T18|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|14|585|391.95|01/10/2006
AB000019|Caminadora|Deporte|3800|W884163|Raya Hogan|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|21|5700|4161|01/02/2011
AB000077|"90210 TOUCH OF GOLD TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|331|P476591|Clarke Delaney|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|5|496.5|387.27|01/03/2007
AB000078|"90210 TOUCH OF PARADISE TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|291|X661493|Marshall Carey|T43|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|15|436.5|340.47|01/12/2005
AB000048|24K BRILLIANT GOLD MICHAEL KORS DAMA PERFUME 100|Perfumeria|1250|F888291|Wesley Oneill|T10|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|5|1875|1275|01/11/2012
AB000080|"90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|276|B218928|Christian Stanley|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|12|414|397.44|01/03/2009
AB000060|5TH AVENUE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|425|M456377|Ulric Marshall|T17|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|5|637.5|420.75|01/02/2008
AB000012|Pantalon de mezclilla|Ropa de caballero|140|P111553|Graiden Charles|T32|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|1|210|121.8|01/11/2015
AB000052|360 BLACK PERRY ELLIS DAMA PERFUME 100|Perfumeria|376|E628927|Alma Ballard|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P8|Planta 8|Sur|San Marcos|23|564|496.32|01/10/2007
AB000013|Chumpa de lona|Ropa de caballero|250|H963214|Daria Guzman|T26|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|15|375|300|01/05/2009
AB000066|"90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|351|X998772|Tatiana Jordan|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P7|Planta 7|Sur|Retalhuleu|23|526.5|289.575|01/05/2013
AB000065|5TH AVENUE STYLE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|345|H432191|Ryder Mcmahon|T36|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|24|517.5|445.05|01/01/2015
AB000058|360 RED PERRY ELLIS DAMA PERFUME 100|Perfumeria|391|Y923456|Aretha Foley|T42|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|23|586.5|322.575|01/12/2014
AB000048|24K BRILLIANT GOLD MICHAEL KORS DAMA PERFUME 100|Perfumeria|1250|T768464|Elaine Nielsen|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|16|1875|1218.75|01/02/2016
AB000071|"90210 METAL JEANS TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|266|L276535|Josiah David|T12|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|9|399|299.25|01/07/2009
AB000035|Amueblado de sala|Muebles|5400|D657895|Tanisha Pate|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|16|8100|7371|01/02/2007
AB000078|"90210 TOUCH OF PARADISE TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|291|Z257474|Colleen Noble|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|5|436.5|410.31|01/04/2011
AB000002|Pantalon de vestir|Ropa de Dama|120|F298425|Pamela Richard|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|14|180|95.4|01/07/2017
AB000029|Estufa|Electrodomesticos|2399|W344699|Quemby Foley|T20|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|10|3598.5|2590.92|01/11/2008
AB000061|5TH AVENUE AFTER FIVE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|375|J423476|Wynter Yang|T28|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|18|562.5|500.625|01/11/2007
AB000072|"90210 MOMMENT TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|251|B867287|Jenna Barber|T14|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|5|376.5|188.25|01/07/2005
AB000018|Playera|Ropa de ni¤os|60|C862698|Malcolm Stewart|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|12|90|54|01/12/2005
AB000065|5TH AVENUE STYLE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|345|E157511|Carl Schultz|T13|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|14|517.5|300.15|01/03/2017
AB000017|Camisa|Ropa de ni¤os|60|K591485|Oren Lamb|T37|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|21|90|82.8|01/06/2010
AB000056|360 PINK PERRY ELLIS DAMA PERFUME 100|Perfumeria|475|Z614617|Ariel Lara|T36|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P8|Planta 8|Sur|San Marcos|8|712.5|356.25|01/04/2006
AB000006|Vestidos|Ropa de Dama|90|T359581|Cecilia Stevenson|T43|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|23|135|121.5|01/06/2010
AB000051|360 PERRY ELLIS DAMA TOILETTE 100|Perfumeria|390|V177975|Hakeem Stephens|T18|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|20|585|549.9|01/01/2017
AB000074|"90210 RED JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|100|P656971|Nina Odonnell|T23|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P8|Planta 8|Sur|San Marcos|6|150|81|01/11/2016
AB000009|Camisa polo|Ropa de caballero|120|W521274|Kasper Wolfe|T6|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|25|180|127.8|01/07/2005
AB000018|Playera|Ropa de ni¤os|60|Z443421|Shannon Velez|T37|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|6|90|68.4|01/12/2007
AB000065|5TH AVENUE STYLE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|345|O771684|Jeremy Taylor|T18|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|17|517.5|507.15|01/02/2013
AB000034|Minicomponente|Electrodomesticos|1263|R586843|Evangeline Dorsey|T42|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|22|1894.5|1079.865|01/09/2007
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|990|H162238|Hillary Hale|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|3|1485|1291.95|01/01/2015
AB000085|ACQUA DI GIOIA GIORGIO ARMANI DAMA PERFUME 100|Perfumeria|731|Z843862|Kelsie Holloway|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|23|1096.5|625.005|01/11/2005
AB000014|Chumpa de cuero|Ropa de caballero|600|K918411|Ocean Joseph|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|22|900|513|01/11/2014
AB000062|5TH AVENUE NYC ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|365|L841256|Kitra Hood|T10|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|15|547.5|454.425|01/07/2012
AB000008|Falda Larga|Ropa de Dama|70|G526333|Karleigh Whitfield|T29|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|13|105|90.3|01/05/2016
AB000023|Bicicleta estacionaria|Deporte|1575|Y541543|Mari Winters|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|17|2362.5|1937.25|01/09/2010
AB000006|Vestidos|Ropa de Dama|90|S922619|Jocelyn Sutton|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|11|135|120.15|01/02/2008
AB000099|AMARIGE D`AMOUR GIVENCHY|Perfumeria|500|B423618|Tanek Green|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|16|750|637.5|01/11/2005
AB000062|5TH AVENUE NYC ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|365|H371929|Olympia Noble|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|9|547.5|399.675|01/05/2009
AB000094|ALLURE CHANEL DAMA TOILETTE 100|Perfumeria|1081|U376487|Kasimir Hahn|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|15|1621.5|1362.06|01/09/2006
AB000076|"90210 SPORT EXTREME TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|226|Z417443|Alvin Cain|T28|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|11|339|233.91|01/09/2015
AB000066|"90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|351|U748251|Alice Black|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P8|Planta 8|Sur|San Marcos|1|526.5|352.755|01/08/2010
AB000019|Caminadora|Deporte|3800|NC39233|Magna Lorem LLC|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|11|5700|5586|01/12/2012
